cohort_id,stock_id,entry_date,regime,variant
A1_ALL_LOCKED:Episode:2190314,6873,2023-03-07,LIMIT_UP,A1_ALL_LOCKED
A1_ALL_LOCKED:Episode:2190632,6873,2024-06-26,LIMIT_UP,A1_ALL_LOCKED
A1_ALL_LOCKED:Episode:2190684,6873,2024-09-10,LIMIT_UP,A1_ALL_LOCKED
A1_ALL_LOCKED:Episode:2190692,6873,2024-09-23,LIMIT_UP,A1_ALL_LOCKED
A2_HIST2_LOCKED:Episode:2190692,6873,2024-09-23,LIMIT_UP,A2_HIST2_LOCKED
A3_NEAR_LIMIT_LOCKED:Episode:2190314,6873,2023-03-07,LIMIT_UP,A3_NEAR_LIMIT_LOCKED
B_NORMAL_MOMENTUM:Episode:2190447,6873,2023-09-19,NORMAL,B_NORMAL_MOMENTUM
B_NORMAL_MOMENTUM:Episode:2190507,6873,2023-12-15,NORMAL,B_NORMAL_MOMENTUM
B_NORMAL_MOMENTUM:Episode:2190529,6873,2024-01-17,NORMAL,B_NORMAL_MOMENTUM
B_NORMAL_MOMENTUM:Episode:2190550,6873,2024-02-26,NORMAL,B_NORMAL_MOMENTUM
B_NORMAL_MOMENTUM:Episode:2190580,6873,2024-04-11,NORMAL,B_NORMAL_MOMENTUM
B_NORMAL_MOMENTUM:Episode:2190629,6873,2024-06-21,NORMAL,B_NORMAL_MOMENTUM
B_NORMAL_MOMENTUM:Episode:2190650,6873,2024-07-22,NORMAL,B_NORMAL_MOMENTUM
B_NORMAL_MOMENTUM:Episode:2190677,6873,2024-08-30,NORMAL,B_NORMAL_MOMENTUM
