regime,variant,rule,N,mean_return,median_return,win_rate,p_loss5,p_loss10,p_plus10,p_plus20,p_plus30,avg_holding_days,median_holding_days,early_exit_rate,winner10_retained,winner20_retained,winner30_retained,right_tail_capture,mean_trade_max_drawdown,false_exit_10d,recovery_above_peak_5d,recovery_above_peak_10d
LIMIT_UP,A1_ALL_LOCKED,NO_EARLY_EXIT,28392.0,0.04500489537575019,-0.002878501059224523,0.49242744435052127,0.3780290222597915,0.23890532544378698,0.2901169343477036,0.16937869822485208,0.1058748943364328,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.09704006388991485,,,
LIMIT_UP,A2_HIST2_LOCKED,NO_EARLY_EXIT,8985.0,0.050142152688974526,-0.010384592178770777,0.47991096271563716,0.416471897607123,0.2947134112409571,0.31986644407345577,0.20779076238174735,0.13834168057874235,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.1171889738074333,,,
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,NO_EARLY_EXIT,1721.0,0.12392965216509108,0.07745308225108224,0.7001743172574085,0.1946542707728065,0.10459035444509006,0.44044160371876817,0.23009877977919815,0.1336432306798373,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.054635061139532176,,,
NORMAL,B_NORMAL_MOMENTUM,NO_EARLY_EXIT,32204.0,0.012291759818613517,-0.017845541621501457,0.43267917028940506,0.37470500558936776,0.20503664141100483,0.19578313253012047,0.09880760154018134,0.055427897155632844,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.09010173126525942,,,
LIMIT_UP,A1_ALL_LOCKED,MA20_1D,28392.0,0.0336412743774507,-0.022834072144288595,0.41684277261200336,0.3825373344604114,0.15550154973231897,0.20488165680473372,0.12658495350803042,0.08287545787545787,12.080092983939139,13.0,0.790574809805579,0.6645623406580066,0.7226034518610938,0.7711244178310046,0.7618896608796354,-0.059914233684702715,0.36919718435355964,0.20640648667914105,0.28561881849772786
LIMIT_UP,A2_HIST2_LOCKED,MA20_1D,8985.0,0.03733904892762933,-0.034209764705882356,0.4038953811908737,0.4414023372287145,0.24351697273233167,0.23884251530328324,0.157039510294936,0.10884808013355593,13.060322760155815,14.0,0.7781858653311075,0.7056367432150313,0.7343331547937868,0.7755430410297667,0.7821290922798632,-0.07555682705746278,0.45537757437070936,0.15689359267734554,0.24728260869565216
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_1D,1721.0,0.08718716890262816,0.03266597694524495,0.6472980825101685,0.1882626380011621,0.06972690296339337,0.27193492155723414,0.14991284137129576,0.09761766414875073,10.317838466008135,10.0,0.799535153980244,0.5646437994722955,0.6161616161616161,0.7130434782608696,0.7042166783706479,-0.033215156754705266,0.3241279069767442,0.46075581395348836,0.5152616279069767
NORMAL,B_NORMAL_MOMENTUM,MA20_1D,32204.0,0.00834384677810365,-0.028420047244094446,0.33312631971183704,0.34604396969320583,0.10318593963482797,0.14491988572848094,0.07610855794311265,0.0449944106322196,12.448174139858402,13.0,0.7854614333623152,0.7192704203013481,0.7624135763670647,0.8061624649859944,0.7725614437569045,-0.05659489160935268,0.27116030836133626,0.15939909072939315,0.2565329116426171
LIMIT_UP,A1_ALL_LOCKED,MA20_2D,28392.0,0.034892196986971116,-0.022781123874344476,0.425225415610031,0.3961679346294731,0.1847351366582136,0.21911101718794027,0.13683431952662722,0.08967314736545506,13.435756551141166,15.0,0.7048816568047337,0.7296345756950346,0.7964233728425868,0.843313373253493,0.8179260851251987,-0.06898874416249312,0.36036576225453454,0.19897066906510769,0.26752610802978066
LIMIT_UP,A2_HIST2_LOCKED,MA20_2D,8985.0,0.03998977012037485,-0.03390160884749707,0.41012799109627157,0.4465219810795771,0.2735670562047858,0.2584307178631052,0.17395659432387311,0.12020033388981637,14.443516972732331,16.0,0.6881469115191987,0.7839248434237995,0.8280664167113015,0.8656476267095736,0.8521792271747944,-0.08690789374140902,0.4426653727963772,0.14248746563157044,0.21688500727802038
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_2D,1721.0,0.08743278394517887,0.032585177570093465,0.6438117373619988,0.19930273097036608,0.07844276583381755,0.27542126670540384,0.15514235909355026,0.10226612434631029,11.19755955839628,12.0,0.715862870424172,0.5910290237467019,0.6565656565656566,0.7565217391304347,0.7293489143280277,-0.03897296420098317,0.32954545454545453,0.4902597402597403,0.5373376623376623
NORMAL,B_NORMAL_MOMENTUM,MA20_2D,32204.0,0.009601588269205017,-0.029943067698259305,0.34927338218854803,0.3739597565519811,0.1333685256489877,0.1611290522916408,0.0844305055272637,0.04931064464041734,14.058439945348404,15.0,0.7004098869705626,0.8115781126090404,0.852294154619736,0.8896358543417366,0.8525170293313764,-0.06513789233172314,0.2617485369746409,0.13269196666075544,0.21852278772832062
LIMIT_UP,A1_ALL_LOCKED,MA20_3D,28392.0,0.036499462127344146,-0.021529402748409174,0.43593265708650325,0.4029656241194703,0.2039659058889828,0.23238940546632855,0.1448647506339814,0.09481544096928712,14.648527754296985,17.0,0.625105663567202,0.7862085710817045,0.8494489498856311,0.8925482368596142,0.863763312486885,-0.07571668805367376,0.35294117647058826,0.1744421906693712,0.24667568176695967
LIMIT_UP,A2_HIST2_LOCKED,MA20_3D,8985.0,0.042264438859858845,-0.03234037288135597,0.421480244852532,0.4515303283249861,0.2862548692264886,0.27557039510294934,0.18475236505286588,0.12676683361157484,15.618475236505287,18.0,0.6100166944908181,0.8458594293667363,0.8853776111408677,0.915526950925181,0.8974950112310789,-0.09445568370458456,0.42966611932129173,0.11621966794380588,0.18810436051815363
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_3D,1721.0,0.09274459738143216,0.04053533333333345,0.6560139453805927,0.2010459035444509,0.08890180127832656,0.2928529924462522,0.1621150493898896,0.10923881464264962,12.320743753631609,15.0,0.6542707728065078,0.6306068601583114,0.6893939393939394,0.8130434782608695,0.7704847669382936,-0.04304918621651536,0.3188277087033748,0.43872113676731794,0.5373001776198935
NORMAL,B_NORMAL_MOMENTUM,MA20_3D,32204.0,0.010795450159660365,-0.02961629540854935,0.3668798906968079,0.3860390013662899,0.15215501179977642,0.1725251521550118,0.09001987330766364,0.05176375605514843,15.267389144205689,17.0,0.6218171655694945,0.8750198255352895,0.9098051539912005,0.9338935574229692,0.903291555760183,-0.07049198205936039,0.253832709113608,0.11036204744069912,0.1895131086142322
LIMIT_UP,A1_ALL_LOCKED,STOP_5,28392.0,0.03880765193157721,-0.04912178538732051,0.3663355874894336,0.49355452240067627,0.07773316427162581,0.2314384333615103,0.13958157227387996,0.08999013806706115,12.403810932657086,13.0,0.5752676810369118,0.7977418963214763,0.8240798502807236,0.8499667332002662,0.8337327415728032,-0.05712173031355266,0.3828445478479153,0.17137084430294497,0.26663809465499294
LIMIT_UP,A2_HIST2_LOCKED,STOP_5,8985.0,0.04130108404215887,-0.0539051428571429,0.3235392320534224,0.5351140790205898,0.11519198664440734,0.23494713411240958,0.16082359488035614,0.11352253756260434,11.39276572064552,10.0,0.6401780745687257,0.7345163535142658,0.7739689341189073,0.8205953338696702,0.7967511323069664,-0.06391006832046253,0.4728789986091794,0.20375521557719053,0.3068497913769124
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,STOP_5,1721.0,0.11453720050752135,0.06268666257668717,0.6304474142940151,0.2748402091807089,0.0505520046484602,0.40906449738524114,0.2167344567112144,0.12783265543288785,16.129575828006974,20.0,0.3137710633352702,0.9287598944591029,0.9419191919191919,0.9565217391304348,0.9279636299749446,-0.03775380024444918,0.3907407407407407,0.14629629629629629,0.2222222222222222
NORMAL,B_NORMAL_MOMENTUM,STOP_5,32204.0,0.007607641830045343,-0.049225428960353895,0.3316979257235126,0.49295118618805117,0.06079990063346168,0.1530555210532853,0.07822009688237486,0.04452862998385294,13.067476089926718,16.0,0.5598372872935039,0.7817605075337034,0.7916404776869893,0.8033613445378152,0.7929914002223692,-0.05788173570847173,0.2984081202507072,0.1506461811525875,0.2510954573187642
LIMIT_UP,A1_ALL_LOCKED,STOP_7,28392.0,0.040004655660427754,-0.050460100456621,0.4083192448577064,0.5007396449704142,0.1385249366018597,0.25066920259227954,0.15007748661594816,0.09569597069597069,14.219075795998872,20.0,0.4821780783319245,0.8640281655942698,0.8860469952173009,0.9038589487691284,0.8899391685619629,-0.0656069902545767,0.37677136596055516,0.12797662527392256,0.21344046749452156
LIMIT_UP,A2_HIST2_LOCKED,STOP_7,8985.0,0.04164165638634975,-0.06639220289855077,0.36282693377851977,0.5664997217584864,0.1963272120200334,0.2578742348358375,0.17462437395659433,0.12120200333889816,13.026377295492487,15.0,0.5647189760712298,0.8061934585942937,0.8403856454204607,0.8761061946902655,0.8540543429861307,-0.0738115925898853,0.46984627512810406,0.1647615293653922,0.260149783208514
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,STOP_7,1721.0,0.11592112352343827,0.06856107335907344,0.6542707728065078,0.26670540383497965,0.07437536316095293,0.41836141778036023,0.2219639744334689,0.13073794305636258,17.152237071470076,20.0,0.2515979081929111,0.9498680738786279,0.9646464646464646,0.9782608695652174,0.9466880873136309,-0.04186731802186353,0.3810623556581986,0.10854503464203233,0.18475750577367206
NORMAL,B_NORMAL_MOMENTUM,STOP_7,32204.0,0.00897699513979618,-0.042263004691469125,0.37340081977394113,0.4782635697428891,0.11545149670848341,0.1701341448267296,0.0862625760775059,0.049062228294621785,15.092907713327538,20.0,0.4405974413116383,0.8689928628072958,0.8730358265241986,0.8851540616246498,0.8728521963453353,-0.06602107816566018,0.2982592148847699,0.10649094368877299,0.18838536894777644
