year,regime,variant,rule,N,mean_return,median_return,win_rate,p_loss5,p_loss10,p_plus10,p_plus20,p_plus30,avg_holding_days,median_holding_days,early_exit_rate,winner10_retained,winner20_retained,winner30_retained,right_tail_capture,mean_trade_max_drawdown,false_exit_10d,recovery_above_peak_5d,recovery_above_peak_10d
2025,LIMIT_UP,A1_ALL_LOCKED,NO_EARLY_EXIT,5955.0,0.0583032660891247,0.03301712605042026,0.5853904282115869,0.28900083963056256,0.17145256087321578,0.33669185558354325,0.16137699412258608,0.09269521410579346,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.08390148257813201,,,
2021,LIMIT_UP,A1_ALL_LOCKED,NO_EARLY_EXIT,5997.0,0.04333344412978825,-0.00793279623824442,0.4822411205602801,0.40136735034183757,0.2674670668667667,0.2879773219943305,0.176088044022011,0.11105552776388194,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.10556513460456592,,,
2023,LIMIT_UP,A1_ALL_LOCKED,NO_EARLY_EXIT,3519.0,0.03927783127285927,-0.012294251874062998,0.46746234725774366,0.37539073600454675,0.21000284171639672,0.26115373685706167,0.15146348394430237,0.09235578289286729,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.08306963970606893,,,
2024,LIMIT_UP,A1_ALL_LOCKED,NO_EARLY_EXIT,5040.0,0.02846747804503949,-0.019193446507515564,0.4442460317460317,0.4142857142857143,0.25912698412698415,0.251984126984127,0.1492063492063492,0.09186507936507937,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.0995068003205111,,,
2026,LIMIT_UP,A1_ALL_LOCKED,NO_EARLY_EXIT,4951.0,0.08079207320661075,0.005546827586206806,0.5114118359927288,0.38315491819834374,0.25974550595839224,0.3476065441324985,0.24277923651787517,0.17006665320137346,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.10656566097552778,,,
2022,LIMIT_UP,A1_ALL_LOCKED,NO_EARLY_EXIT,3464.0,0.001995173687421252,-0.030159215260330084,0.4122401847575058,0.4416859122401848,0.28290993071593534,0.21160508083140878,0.11316397228637413,0.059468822170900694,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.10495649623470338,,,
2023,LIMIT_UP,A2_HIST2_LOCKED,NO_EARLY_EXIT,905.0,0.032579445017114156,-0.019503882352941124,0.45414364640883975,0.4176795580110497,0.2828729281767956,0.29392265193370165,0.18121546961325966,0.112707182320442,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.106011398701272,,,
2021,LIMIT_UP,A2_HIST2_LOCKED,NO_EARLY_EXIT,2078.0,0.044412297361240936,-0.019503882352941124,0.46631376323387874,0.44610202117420594,0.3253128007699711,0.31520692974013476,0.2016361886429259,0.12993262752646775,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.1265632622960225,,,
2022,LIMIT_UP,A2_HIST2_LOCKED,NO_EARLY_EXIT,993.0,-0.0029425866926429973,-0.044524027397260385,0.3867069486404834,0.4813695871097684,0.35246727089627394,0.2326283987915408,0.13997985901309165,0.08459214501510574,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.1270290725806474,,,
2025,LIMIT_UP,A2_HIST2_LOCKED,NO_EARLY_EXIT,1506.0,0.05745457820128808,0.020174328283843326,0.546480743691899,0.34196547144754313,0.22841965471447542,0.3386454183266932,0.20385126162018594,0.12616201859229748,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.09941567359367195,,,
2026,LIMIT_UP,A2_HIST2_LOCKED,NO_EARLY_EXIT,2054.0,0.10489067081389152,0.030620703160638554,0.5472249269717624,0.37098344693281404,0.2726387536514119,0.40165530671859784,0.2940603700097371,0.21470301850048684,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.11862719972351599,,,
2024,LIMIT_UP,A2_HIST2_LOCKED,NO_EARLY_EXIT,1605.0,0.02208242916323189,-0.037685975334018545,0.41869158878504675,0.4685358255451713,0.31962616822429907,0.26791277258566976,0.16448598130841122,0.10778816199376948,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.12129250792038744,,,
2025,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,NO_EARLY_EXIT,783.0,0.12132682912131995,0.10168914810281512,0.8403575989782887,0.08812260536398467,0.0421455938697318,0.5057471264367817,0.1966794380587484,0.08045977011494253,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.055727822364250716,,,
2024,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,NO_EARLY_EXIT,184.0,0.15089745414576633,0.04327671634322047,0.5815217391304348,0.2608695652173913,0.10869565217391304,0.41847826086956524,0.2826086956521739,0.21195652173913043,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.03988774710690412,,,
2022,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,NO_EARLY_EXIT,140.0,0.07872095861109067,0.040530232876887146,0.5785714285714286,0.2571428571428571,0.16428571428571428,0.32857142857142857,0.18571428571428572,0.1357142857142857,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.05690643923291597,,,
2023,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,NO_EARLY_EXIT,140.0,0.15076399750419314,0.05599090489913536,0.6428571428571429,0.22857142857142856,0.10714285714285714,0.40714285714285714,0.29285714285714287,0.19285714285714287,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.035323942560192126,,,
2026,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,NO_EARLY_EXIT,267.0,0.1167793334763224,0.03805914285714293,0.5692883895131086,0.3408239700374532,0.20599250936329588,0.41947565543071164,0.26217228464419473,0.17228464419475656,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.06898595219513479,,,
2021,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,NO_EARLY_EXIT,236.0,0.1447579243707724,0.026632005595602495,0.5847457627118644,0.2838983050847458,0.1694915254237288,0.3474576271186441,0.2584745762711864,0.1864406779661017,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.059102026571499156,,,
2021,NORMAL,B_NORMAL_MOMENTUM,NO_EARLY_EXIT,6890.0,0.014311451755230598,-0.01831418796305687,0.43671988388969524,0.39013062409288823,0.22249637155297533,0.20638606676342525,0.10928882438316401,0.059941944847605226,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.09524707604627955,,,
2022,NORMAL,B_NORMAL_MOMENTUM,NO_EARLY_EXIT,4943.0,-0.017127350433959597,-0.025740408376963373,0.394294962573336,0.4108840784948412,0.24681367590532066,0.1414120979162452,0.051385798098320855,0.02670443050778879,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.09583541579436507,,,
2023,NORMAL,B_NORMAL_MOMENTUM,NO_EARLY_EXIT,5484.0,0.020194078288618134,-0.008421378669327326,0.4682713347921225,0.3176513493800146,0.14970824215900802,0.1925601750547046,0.08843909555069293,0.047045951859956234,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.07235333931757211,,,
2025,NORMAL,B_NORMAL_MOMENTUM,NO_EARLY_EXIT,6120.0,0.008154989771139627,-0.019859187551245636,0.41568627450980394,0.36666666666666664,0.18611111111111112,0.18006535947712418,0.0892156862745098,0.04738562091503268,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.08179345903748957,,,
2026,NORMAL,B_NORMAL_MOMENTUM,NO_EARLY_EXIT,3580.0,0.04129523892742254,-0.016471151750972832,0.45558659217877095,0.3994413407821229,0.25027932960893856,0.2776536312849162,0.17458100558659218,0.11508379888268157,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.11106620878640418,,,
2024,NORMAL,B_NORMAL_MOMENTUM,NO_EARLY_EXIT,5774.0,0.008003947277846786,-0.022481479783608014,0.414444059577416,0.39452719085555943,0.21181156910287496,0.19120193972982336,0.0966401108417042,0.05230342916522342,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.09577937158666074,,,
2025,LIMIT_UP,A1_ALL_LOCKED,MA20_1D,5955.0,0.031549776443465384,-0.004798,0.47523089840470195,0.30310663308144414,0.109151973131822,0.18673383711167085,0.10394626364399664,0.06633081444164568,10.433417296389589,10.0,0.8154492023509656,0.5286783042394015,0.6305931321540063,0.7065217391304348,0.6708887969793824,-0.056602866973040004,0.32845963756177926,0.36017298187808894,0.4341021416803954
2021,LIMIT_UP,A1_ALL_LOCKED,MA20_1D,5997.0,0.03324432111849627,-0.025949586368977626,0.41687510421877605,0.407703851925963,0.18959479739869936,0.20760380190095049,0.13056528264132067,0.08754377188594298,12.344672336168085,13.0,0.7897281974320494,0.6780544296467863,0.7196969696969697,0.7702702702702703,0.7728023788517793,-0.06366454033981407,0.4075168918918919,0.18010979729729729,0.25675675675675674
2023,LIMIT_UP,A1_ALL_LOCKED,MA20_1D,3519.0,0.03260609192572932,-0.02799387628865971,0.40664961636828645,0.3967036089798238,0.1554418868996874,0.21824381926683717,0.12986643932935493,0.08042057402671214,13.842568911622621,15.0,0.7411196362603012,0.7932535364526659,0.8292682926829268,0.8676923076923077,0.8379512035063517,-0.05630980843858945,0.3101993865030675,0.11004601226993865,0.18673312883435583
2024,LIMIT_UP,A1_ALL_LOCKED,MA20_1D,5040.0,0.02565590970049204,-0.02932284061109106,0.38492063492063494,0.40634920634920635,0.16170634920634921,0.19503968253968254,0.11964285714285715,0.07579365079365079,12.319246031746031,13.0,0.8007936507936508,0.7283464566929134,0.7792553191489362,0.8120950323974082,0.8091926738863207,-0.05982023985770868,0.367195242814668,0.16625371655104063,0.24801783944499503
2026,LIMIT_UP,A1_ALL_LOCKED,MA20_1D,4951.0,0.06458021795525459,-0.024665549668874163,0.42456069480912945,0.3954756614825288,0.17269238537669157,0.26156332054130477,0.18359927287416683,0.13310442334881842,12.606544132498485,13.0,0.7703494243587155,0.7036606624055781,0.7262895174708819,0.7719714964370546,0.7803473567337085,-0.06469048424067278,0.4766649187205034,0.18143681174619822,0.28736234923964343
2022,LIMIT_UP,A1_ALL_LOCKED,MA20_1D,3464.0,0.001511451573387036,-0.0377042239166234,0.3443995381062356,0.4344688221709007,0.171189376443418,0.14809468822170901,0.08342956120092379,0.04387990762124711,11.94919168591224,12.0,0.8169745958429562,0.6480218281036835,0.6964285714285714,0.7281553398058253,0.7228899904563528,-0.06189761502325246,0.31908127208480563,0.1508833922261484,0.22296819787985867
2023,LIMIT_UP,A2_HIST2_LOCKED,MA20_1D,905.0,0.02491335977304376,-0.03637694736842115,0.3988950276243094,0.4607734806629834,0.256353591160221,0.23977900552486187,0.14917127071823205,0.09834254143646409,14.355801104972375,15.0,0.7425414364640884,0.7894736842105263,0.8048780487804879,0.8627450980392157,0.8409945197419263,-0.07551875019692451,0.40029761904761907,0.10416666666666667,0.18601190476190477
2021,LIMIT_UP,A2_HIST2_LOCKED,MA20_1D,2078.0,0.032666367710549274,-0.03587612351317929,0.4095283926852743,0.4542829643888354,0.2598652550529355,0.22666025024061598,0.1453320500481232,0.10057747834456209,12.889316650625602,14.0,0.7954764196342637,0.6778625954198473,0.6992840095465394,0.762962962962963,0.7652508681288978,-0.07874661922656223,0.4543254688445251,0.14337568058076225,0.21355111917725347
2022,LIMIT_UP,A2_HIST2_LOCKED,MA20_1D,993.0,-0.003876027515703075,-0.05025254545454552,0.3162134944612286,0.5025176233635448,0.2799597180261833,0.16012084592145015,0.10171198388721048,0.06445115810674723,12.253776435045317,12.0,0.8207452165156093,0.6536796536796536,0.7050359712230215,0.7380952380952381,0.7452693759835384,-0.08041306724428199,0.3987730061349693,0.13865030674846626,0.2245398773006135
2025,LIMIT_UP,A2_HIST2_LOCKED,MA20_1D,1506.0,0.035698015852310395,-0.021914776915464316,0.4355909694555113,0.38313413014608233,0.19787516600265603,0.24302788844621515,0.15670650730411687,0.10159362549800798,12.830013280212484,14.0,0.7529880478087649,0.692156862745098,0.758957654723127,0.7894736842105263,0.7664240927086864,-0.0669992098647678,0.42239858906525574,0.1984126984126984,0.30246913580246915
2026,LIMIT_UP,A2_HIST2_LOCKED,MA20_1D,2054.0,0.08139876500268788,-0.021080495029089017,0.45034079844206426,0.41285296981499514,0.23125608568646544,0.3008763388510224,0.21762414800389485,0.16455696202531644,13.399221032132424,14.0,0.7502434274586174,0.703030303030303,0.7152317880794702,0.7573696145124716,0.7822863037027241,-0.07597246564347598,0.5678131083711876,0.19208306294613886,0.31343283582089554
2024,LIMIT_UP,A2_HIST2_LOCKED,MA20_1D,1605.0,0.01793966767977534,-0.043607831824062054,0.3582554517133956,0.47725856697819313,0.26292834890965733,0.2161993769470405,0.1320872274143302,0.08722741433021806,13.004984423676012,13.0,0.8105919003115265,0.7465116279069768,0.7765151515151515,0.8034682080924855,0.8180056362247418,-0.07902664527378829,0.42890084550345886,0.1291314373558801,0.2121445042275173
2025,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_1D,783.0,0.05734954008698094,0.03416303896103909,0.7407407407407407,0.09578544061302682,0.034482758620689655,0.17879948914431673,0.05236270753512133,0.033205619412515965,5.706257982120051,2.0,0.9246487867177522,0.31313131313131315,0.2597402597402597,0.4126984126984127,0.4949781827622568,-0.04619813774178121,0.2969613259668508,0.7458563535911602,0.7817679558011049
2024,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_1D,184.0,0.13584773182046198,0.013712187335451733,0.532608695652174,0.29891304347826086,0.07608695652173914,0.3804347826086957,0.2717391304347826,0.1956521739130435,14.08695652173913,17.0,0.6739130434782609,0.8571428571428571,0.9230769230769231,0.8974358974358975,0.9060562124325438,-0.019608723795585693,0.3467741935483871,0.13709677419354838,0.21774193548387097
2022,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_1D,140.0,0.07318889765084018,0.01337597845911084,0.5357142857142857,0.2857142857142857,0.08571428571428572,0.2642857142857143,0.16428571428571428,0.11428571428571428,13.8,16.5,0.7071428571428572,0.7608695652173914,0.8461538461538461,0.8421052631578947,0.8553812599874868,-0.023993425066875487,0.35353535353535354,0.13131313131313133,0.20202020202020202
2023,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_1D,140.0,0.10717422930345848,0.0428293566258163,0.6571428571428571,0.22142857142857142,0.10714285714285714,0.4,0.2714285714285714,0.15714285714285714,15.392857142857142,18.0,0.6642857142857143,0.9298245614035088,0.8780487804878049,0.8148148148148148,0.7076765972223965,-0.013983498034153656,0.27956989247311825,0.15053763440860216,0.23655913978494625
2026,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_1D,267.0,0.11656990289124664,0.0313814500723589,0.5580524344569289,0.25842696629213485,0.10112359550561797,0.3857677902621723,0.2247191011235955,0.14606741573033707,14.146067415730338,16.0,0.704119850187266,0.8125,0.7571428571428571,0.8043478260869565,0.8533779233552088,-0.031032328154040816,0.35638297872340424,0.18617021276595744,0.25
2021,LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_1D,236.0,0.12369813020633298,0.024429543625047536,0.5550847457627118,0.2838983050847458,0.1440677966101695,0.3050847457627119,0.2245762711864407,0.15254237288135594,13.847457627118644,16.0,0.711864406779661,0.8414634146341463,0.8524590163934426,0.7954545454545454,0.8433614655584256,-0.02486530456333185,0.4226190476190476,0.1130952380952381,0.19642857142857142
